104164|TAG ZAG|VISTA ALEGRE|RADIO E TELEVISÃO PARAIBANA LTDA|8465|1003266|222/2013 ADITIVO- 07|25/11/2017 A 24/05/2017|420011/2017|5548.40|2017-02-10|VEICULAÇÃO|RADIO ARAPUAN|
104540|TAG ZAG|VEICULAÇÃO JUNHO|EMPRESA DE TELEVISÃO JOÃO PESSOA LTDA|35747|1003611|222/2013 ADITIVO- 08|25/05/2017 A 24/11/2017|420114/2017|29100.00|2017-08-14|VEICULAÇÃO|TV CORREIO|
104633|TAG ZAG|JULHO|RADIO AREIA DOURADA LTDA|2522|1003687|222/2013 ADITIVO- 08|25/05/2017 A 24/11/2017|420114/2017|2910.00|2017-09-15|VEICULAÇÃO|RADIO CABO BRANCO|
104340|SUPERLIGA 66|NEWSLETTER PMJP|SUPERLIGA 66 SERVIÇOS LTDA|1001346|1001346|222/2013 ADITIVO- 07|25/11/2016 A 24/05/2017|420064/2017|3814.40|2017-05-10|CRIAÇÃO|SUPERLIGA 66|
103597|DABLIU A|TIMBRADO 430 ANOS|GRÁFICA JB LTDA|1011697|40518|222/2013 ADITIVO- 04|25/05/2015 A 24/11/2015|420133/2015|793.50|2015-10-08|PRODUÇÃO|GRÁFICA JB|
102337|DABLIU A|NATAL|JORNAL CORREIO DA PARAIBA LTDA|147102|20174|222/2013|25/11/2013 a 24/05/2014|420294/2013|42500.00|2014-02-28|VEICULAÇÃO|JORNAL CORREIO|
104411|SUPERLIGA 66|UPS CRUZ DAS ARMAS|ADESIVO DOIS COMUNICAÇÃO VISUAL LTDA|1002174|1001397|222/2013 ADITIVO- 08|25/05/2017 A 24/11/2017|420082/2017|434.70|2017-06-13|PRODUÇÃO|ADESIVO 2|
104116|TAG GROUP|OLHAR AO LADO|TELEVISAO TAMBAU LTD|6440|1003148|222/2013 ADITIVO- 06|25/05/2015 A 24/11/2016|420109/2016|54214.23|2016-12-21|VEICULAÇÃO|TV TAMBAÚ|
102620|DABLIU A|EXTREMO CULTURAL|ALFREDO PEREIRA DA SILVA|1000281|20413|222/2013 ADITIVO- 01|25/11/2013 a 24/05/2014|420007/2014|7245.00|2014-04-25|PRODUÇÃO|JP BALÕES|
103797|DABLIU A|MIDIA NOVEMBRO|RADIO E TELEVISÃO PARAIBANA LTDA|7934|40737|222/2013 ADITIVO- 05|25/05/2015 A 24/11/2016|420175/2015|756.60|2015-12-18|VEICULAÇÃO|RADIO ARAPUAN FM|
103813|TAG GROUP|EDITAL 2014|JORNAL DA PARAIBA - EDITORA JORNAL DA PARAIBA LTDA|2918|1001205|222/2013 ADITIVO- 04|25/05/2015 A 24/11/2015|420036/2015|1280.40|2015-12-18|VEICULAÇÃO|JORNAL DA PARAIBA|
102938|DABLIU A|ANIVERSARIO DE JOAO PESSOA|CLICK PB - AMLL SERV E PORTAL DE INTERNET LTDA|1000063|20715|222/2013 ADITIVO- 02|25/05/2014 a24/11/2014|420106/2014|19400.00|2014-10-02|VEICULAÇÃO|PORTAL CLICK PB|
104528|SUPERLIGA 66|CARTAZES MULHER|GRÁFICA JB LTDA|1026686|1001478|222/2013 ADITIVO- 08|25/05/2017 A 24/11/2017|420108/2017|2702.50|2017-08-14|PRODUÇÃO|GRÁFICA JB|
104564|TAG ZAG|CIDADE SUSTENTAVEL|MC STUDIO LTDA|3958|1003560|222/2013 ADITIVO- 08|25/05/2017 A 24/11/2017|420114/2017|14720.00|2017-08-14|PRODUÇÃO|MUZAK|
103960|DABLIU A|INSTITUCIONAL|ADESIVO DOIS COMUNICAÇÃO VISUAL LTDA|1000969|40567|222/2013 ADITIVO- 04|25/05/2015 A 24/11/2015|420150/2015|437.00|2016-04-27|PRODUÇÃO|ADESIVO 2|
102807|ART&C|CARNAVAL 2014|EDITORA JORNAL DA PARAIBA LTDA|2037|10517|222/2013 ADITIVO- 02|25/05/2014 a24/11/2014|420108/2014|6790.00|2014-07-29|VEICULAÇÃO|JORNAL DA PARAIBA|
